iter	RMSE
0	5.948483182
1	5.75332546
2	5.576146664
3	5.429373548
4	5.287903615
5	5.162101468
6	5.047033353
7	4.93841393
8	4.843952191
9	4.760391477
10	4.683435162
11	4.612385383
12	4.551547309
13	4.492794455
14	4.443201725
15	4.402314379
16	4.359095126
17	4.319951672
18	4.287040266
19	4.251870261
20	4.220231653
21	4.175854939
22	4.143436247
23	4.112835482
24	4.095157464
25	4.069807523
26	4.05018213
27	4.030287611
28	4.013953479
29	3.998545699
30	3.985143514
31	3.966954635
32	3.951322014
33	3.935106873
34	3.925836682
35	3.909676121
36	3.89489732
37	3.881228177
38	3.864733387
39	3.849783275
40	3.84011352
41	3.827137036
42	3.816123277
43	3.810338081
44	3.791165321
45	3.784528043
46	3.771734175
47	3.761313364
48	3.752635376
49	3.742209616
50	3.732701107
51	3.727562996
52	3.719004705
53	3.714338763
54	3.706627645
55	3.698731284
56	3.689934293
57	3.682772889
58	3.669871811
59	3.660245901
60	3.655277296
61	3.648679643
62	3.637296735
63	3.63209556
64	3.624178114
65	3.61793158
66	3.609525527
67	3.598471395
68	3.595133103
69	3.589931478
70	3.584049217
71	3.579438337
72	3.572663367
73	3.561971467
74	3.55706861
75	3.551070473
76	3.541890971
77	3.538098353
78	3.534209451
79	3.527033813
80	3.524131659
81	3.521235589
82	3.51792
83	3.511764198
84	3.508977563
85	3.505054538
86	3.49892406
87	3.494242868
88	3.486921163
89	3.48364793
90	3.480762602
91	3.47640322
92	3.469657234
93	3.466831078
94	3.461016384
95	3.455079491
96	3.45035399
97	3.447553057
98	3.444863591
99	3.441300099
100	3.436926353
101	3.43132981
102	3.424410316
103	3.417673079
104	3.415318606
105	3.407858425
106	3.402000532
107	3.396433729
108	3.39220595
109	3.390175032
110	3.384723036
111	3.378023112
112	3.374798193
113	3.365457375
114	3.357805815
115	3.354938878
116	3.349514614
117	3.347569459
118	3.34227649
119	3.337169587
120	3.330350212
121	3.324144889
122	3.320365691
123	3.317581728
124	3.312226567
125	3.309304182
126	3.306173614
127	3.300078325
128	3.297815597
129	3.291960933
130	3.289071398
131	3.284746487
132	3.27865574
133	3.275508722
134	3.271522601
135	3.267200663
136	3.265408707
137	3.262990798
138	3.257306085
139	3.253235014
140	3.247152108
141	3.240623875
142	3.235007424
143	3.230657779
144	3.225136087
145	3.22129773
146	3.219516173
147	3.215529636
148	3.208191544
149	3.203614639
150	3.201292005
151	3.196935886
152	3.19489608
153	3.190927953
154	3.184905632
155	3.183404153
156	3.176283782
157	3.172613452
158	3.17054258
159	3.168853162
160	3.163996834
161	3.160173127
162	3.155593067
163	3.149907884
164	3.148657273
165	3.145553828
166	3.144857996
167	3.14176674
168	3.138312995
169	3.13516862
170	3.129385067
171	3.124828033
172	3.121352208
173	3.120124616
174	3.115374309
175	3.110848824
176	3.106679571
177	3.103007036
178	3.099353313
179	3.097797317
180	3.092605942
181	3.090973178
182	3.08971431
183	3.088040412
184	3.08217907
185	3.080791744
186	3.076945836
187	3.073750869
188	3.065845631
189	3.060931707
190	3.059620278
191	3.055139444
192	3.050933684
193	3.049658202
194	3.045341002
195	3.040460865
196	3.036377787
197	3.033255636
198	3.027368537
199	3.026174682
200	3.025399846
201	3.02168777
202	3.020541195
203	3.01970098
204	3.015590782
205	3.012094813
206	3.010147824
207	3.006489966
208	3.002734775
209	3.001295608
210	2.994115
211	2.990005677
212	2.988517103
213	2.986273124
214	2.985501528
215	2.982966966
216	2.982129672
217	2.978833682
218	2.978024483
219	2.97731872
220	2.974208331
221	2.973528965
222	2.971016662
223	2.967291606
224	2.963473083
225	2.959770591
226	2.959062302
227	2.954946503
228	2.950991733
229	2.945592949
230	2.945013679
231	2.940183374
232	2.936724739
233	2.933213845
234	2.932491907
235	2.928733724
236	2.928022249
237	2.92328867
238	2.918475247
239	2.917596441
240	2.914290135
241	2.910661974
242	2.906629145
243	2.903431025
244	2.899585424
245	2.896574564
246	2.895910628
