iter	Passed	Remaining
0	1	658
1	2	626
2	3	585
3	4	568
4	5	551
5	6	559
6	7	542
7	8	540
8	9	544
9	10	538
10	12	537
11	13	539
12	14	534
13	15	530
14	16	527
15	17	526
16	18	523
17	19	518
18	20	518
19	21	516
20	22	512
21	23	511
22	24	509
23	25	508
24	26	507
25	27	504
26	28	501
27	29	497
28	30	498
29	31	496
30	32	493
31	33	490
32	34	489
33	35	487
34	36	485
35	37	482
36	38	481
37	39	480
38	40	479
39	41	478
40	42	477
41	43	477
42	44	475
43	45	474
44	46	474
45	47	472
46	48	470
47	49	469
48	50	467
49	51	466
50	52	464
51	53	463
52	54	462
53	55	460
54	56	459
55	57	458
56	58	457
57	59	456
58	61	456
59	62	455
60	62	453
61	64	452
62	65	452
63	66	451
64	67	449
65	68	447
66	69	448
67	70	447
68	71	445
69	72	443
70	73	442
71	74	441
72	75	440
73	76	439
74	77	438
75	78	437
76	79	436
77	80	434
78	81	433
79	82	432
80	83	431
81	84	430
82	85	429
83	86	428
84	87	427
85	88	426
86	89	425
87	90	424
88	91	423
89	92	422
90	93	421
91	94	420
92	95	419
93	96	418
94	97	416
95	98	415
96	99	414
97	100	413
98	101	411
99	102	410
100	103	410
101	104	409
102	105	408
103	107	407
104	108	406
105	109	405
106	110	404
107	111	403
108	112	402
109	113	400
110	113	399
111	114	398
112	115	397
113	117	396
114	118	395
115	119	394
116	120	393
117	121	391
118	122	390
119	122	389
120	123	388
121	124	387
122	125	385
123	126	384
124	127	382
125	128	381
126	129	380
127	130	379
128	131	378
129	132	377
130	133	376
131	134	374
132	135	373
133	136	372
134	137	371
135	138	370
136	139	368
137	140	367
138	141	366
139	142	365
140	143	364
141	144	363
142	145	362
143	146	361
144	147	360
145	148	359
146	149	358
147	150	357
148	151	355
149	152	354
150	153	353
151	154	352
152	155	351
153	156	350
154	157	349
155	157	348
156	158	346
157	159	345
158	160	343
159	161	342
160	162	341
161	162	339
162	163	338
163	164	337
164	165	336
165	166	334
166	167	333
167	168	332
168	169	331
169	169	329
170	170	328
171	171	327
172	172	326
173	173	324
174	174	323
175	175	322
176	175	320
177	176	319
178	177	318
179	178	317
180	179	315
181	179	314
182	180	313
183	181	311
184	182	310
185	183	309
186	183	307
187	184	306
188	185	305
189	186	304
190	187	302
191	188	301
192	188	300
193	189	299
194	190	298
195	191	297
196	192	295
197	193	294
198	194	293
199	194	292
200	195	291
201	196	290
202	197	288
203	198	287
204	199	286
205	200	285
206	200	284
207	201	283
208	202	282
209	203	280
210	204	279
211	205	278
212	205	277
213	206	276
214	207	275
215	208	274
216	209	273
217	210	271
218	211	270
219	211	269
220	212	268
221	213	267
222	214	266
223	215	265
224	216	264
225	216	263
226	217	261
227	218	260
228	219	259
229	220	258
230	220	257
231	221	256
232	222	255
233	223	253
234	224	252
235	225	251
236	225	250
237	226	249
238	227	248
239	228	247
240	229	246
241	230	245
242	231	244
243	232	243
244	232	242
245	233	241
246	234	240
247	235	239
248	236	238
249	236	236
250	237	235
251	238	234
252	239	233
253	240	232
254	241	231
255	242	230
256	242	229
257	243	228
258	244	227
259	245	226
260	246	225
261	247	224
262	248	223
263	248	222
264	249	221
265	250	220
266	251	219
267	252	218
268	253	217
269	253	216
270	254	215
271	255	214
272	256	213
273	257	212
274	257	211
275	258	210
276	259	209
277	260	207
278	261	206
279	262	205
280	262	204
281	263	203
282	264	202
283	265	201
284	266	200
285	266	199
286	267	198
287	268	197
288	269	196
289	270	195
290	271	194
291	272	193
292	272	192
293	273	191
294	274	190
295	275	189
296	276	188
297	277	187
298	277	186
299	278	185
300	279	184
301	280	183
302	281	182
303	282	181
304	283	180
305	283	179
306	284	178
307	285	178
308	286	177
309	287	176
310	287	175
311	288	174
312	289	173
313	290	172
314	291	171
315	292	170
316	293	169
317	293	168
318	294	167
319	295	166
320	296	165
321	297	164
322	298	163
323	298	162
324	299	161
325	300	160
326	301	159
327	302	158
328	302	157
329	303	156
330	304	155
331	305	154
332	306	153
333	307	152
334	307	151
335	308	150
336	309	149
337	310	148
338	311	147
