iter	Passed	Remaining
0	1	1831
1	3	1741
2	5	1729
3	6	1734
4	8	1742
5	10	1751
6	12	1748
7	14	1743
8	15	1751
9	17	1743
10	19	1749
11	21	1778
12	23	1770
13	24	1751
14	26	1761
15	28	1750
16	30	1747
17	31	1733
18	33	1732
19	35	1729
20	37	1727
21	38	1719
22	40	1713
23	42	1713
24	43	1705
25	45	1696
26	46	1691
27	48	1690
28	50	1687
29	52	1687
30	53	1679
31	55	1672
32	56	1667
33	58	1663
34	60	1662
35	62	1663
36	63	1658
37	65	1653
38	67	1655
39	68	1652
40	70	1648
41	72	1644
42	73	1641
43	75	1636
44	76	1630
45	78	1626
46	80	1623
47	81	1620
48	83	1615
49	84	1611
50	86	1609
51	88	1614
52	90	1612
53	91	1608
54	93	1602
55	94	1596
56	96	1593
57	97	1590
58	99	1587
59	101	1584
60	102	1583
61	104	1581
62	106	1578
63	107	1574
64	109	1573
65	110	1570
66	112	1568
67	114	1567
68	115	1563
69	117	1560
70	118	1556
71	120	1552
72	121	1547
73	123	1545
74	125	1542
75	126	1539
76	128	1536
77	129	1533
78	131	1531
79	132	1527
80	134	1527
81	136	1524
82	137	1523
83	139	1520
84	141	1518
85	142	1515
86	144	1513
87	145	1510
88	147	1508
89	148	1506
90	150	1503
91	152	1501
92	153	1499
93	155	1496
94	156	1495
95	158	1493
96	160	1491
97	161	1489
98	163	1486
99	164	1484
100	166	1482
101	168	1481
102	169	1478
103	171	1476
104	172	1473
105	174	1470
106	175	1467
107	177	1465
108	179	1464
109	180	1462
110	182	1460
111	184	1462
112	186	1463
113	188	1464
114	190	1465
115	192	1466
116	194	1467
117	196	1467
118	197	1463
119	199	1459
120	200	1454
121	201	1450
122	202	1446
123	204	1441
124	205	1436
125	206	1432
126	207	1428
127	209	1424
128	210	1420
129	211	1416
130	212	1412
131	214	1409
132	215	1405
133	216	1401
134	218	1398
135	219	1394
136	220	1391
137	222	1387
138	223	1383
139	224	1380
140	225	1376
141	227	1373
142	228	1369
143	229	1366
144	230	1362
145	232	1358
146	233	1355
147	234	1351
148	236	1348
149	237	1344
150	238	1341
151	239	1338
152	241	1334
153	242	1331
154	243	1327
155	245	1325
156	246	1325
157	255	1361
158	259	1370
159	262	1378
160	264	1380
161	267	1382
162	269	1383
163	271	1385
164	273	1385
165	275	1385
166	277	1385
167	280	1386
168	281	1385
169	284	1387
170	286	1386
171	287	1386
172	289	1385
173	291	1384
174	293	1382
175	294	1379
176	295	1376
177	297	1375
178	300	1379
179	303	1383
180	306	1388
181	309	1389
182	311	1389
183	313	1388
184	315	1387
185	316	1385
186	318	1384
187	320	1382
188	321	1379
189	322	1375
190	323	1372
191	325	1368
192	326	1364
193	327	1361
194	328	1357
195	330	1354
196	331	1351
197	332	1347
198	333	1344
199	335	1340
200	336	1337
201	337	1333
202	338	1330
203	340	1327
204	341	1323
205	342	1321
206	344	1320
207	345	1317
208	347	1313
209	348	1310
210	349	1307
211	351	1305
212	352	1302
213	353	1299
214	355	1296
215	356	1293
216	357	1290
217	358	1287
218	360	1284
219	361	1281
220	362	1278
221	363	1275
222	365	1272
223	366	1269
224	367	1266
225	368	1263
226	370	1260
227	371	1257
228	372	1254
229	373	1251
230	375	1248
231	376	1245
232	377	1242
233	378	1240
234	380	1237
235	381	1234
236	382	1231
237	384	1229
238	385	1227
239	386	1225
240	388	1222
241	389	1219
242	390	1216
243	391	1214
244	393	1212
245	394	1209
246	395	1206
247	397	1204
248	398	1201
249	399	1199
250	400	1196
251	402	1193
252	403	1191
253	404	1189
254	406	1186
255	407	1184
256	408	1181
257	409	1178
258	411	1176
259	412	1173
260	413	1170
261	414	1168
262	415	1165
263	417	1163
264	418	1160
265	419	1158
266	420	1155
267	422	1152
268	423	1150
269	424	1148
270	425	1145
271	427	1143
272	428	1140
273	429	1138
274	430	1135
275	432	1133
276	433	1130
277	434	1128
278	435	1126
279	437	1124
280	438	1121
281	439	1119
282	440	1116
283	442	1114
284	443	1112
285	444	1110
286	445	1107
287	447	1105
288	448	1103
289	449	1101
290	451	1099
291	452	1096
292	453	1094
293	455	1093
294	456	1092
295	458	1090
296	460	1090
297	461	1087
298	464	1088
299	466	1087
300	468	1088
301	470	1087
302	472	1086
303	473	1084
304	475	1082
305	476	1080
306	478	1079
307	479	1077
308	481	1075
309	482	1073
310	483	1072
311	485	1070
312	486	1068
313	488	1066
314	489	1064
315	491	1063
316	492	1062
317	494	1059
318	495	1057
319	497	1057
320	499	1055
321	500	1053
322	501	1052
323	503	1049
324	504	1047
325	505	1045
326	507	1043
327	508	1041
328	509	1039
329	510	1037
330	511	1034
331	513	1032
332	514	1030
333	515	1028
334	516	1025
335	518	1023
336	519	1021
337	520	1019
338	521	1017
339	522	1015
340	524	1012
341	525	1010
342	526	1008
343	527	1006
344	529	1004
345	530	1002
346	531	1000
347	532	998
348	534	996
349	535	994
350	536	992
351	537	990
352	539	988
353	540	986
354	541	984
355	542	981
356	543	979
357	545	977
358	546	975
359	547	973
360	548	971
361	550	969
362	551	967
363	552	965
364	553	963
365	554	961
366	556	959
367	557	957
368	558	955
369	559	953
370	561	951
371	562	949
372	563	947
373	565	946
374	566	944
375	568	942
376	569	940
377	570	938
378	571	936
379	572	934
380	574	932
381	575	930
382	576	929
383	577	927
384	579	925
385	580	923
386	581	921
387	582	919
388	584	917
389	585	915
390	586	914
391	588	912
392	589	910
393	590	908
394	591	906
395	593	904
396	594	902
397	595	900
398	596	898
399	598	897
400	599	895
401	600	893
402	601	891
403	603	889
404	604	887
405	605	886
406	606	884
407	608	882
408	609	880
409	610	878
410	611	876
411	612	874
412	614	872
413	615	871
414	616	869
415	617	867
416	619	865
417	620	863
418	621	861
419	623	860
420	624	858
421	625	856
422	626	855
423	628	853
424	629	851
425	630	849
426	631	848
427	633	846
428	634	844
429	635	842
430	636	840
431	638	838
432	639	837
433	640	835
434	641	833
435	643	831
436	644	830
437	645	828
438	646	826
439	648	825
440	649	823
441	650	821
442	652	820
443	653	818
444	654	816
445	655	814
446	657	812
447	658	811
448	659	809
449	660	807
450	662	805
451	663	804
452	664	802
453	665	800
454	666	798
455	668	797
456	669	795
457	670	793
458	672	792
459	673	790
460	674	788
461	675	786
462	676	785
463	678	783
464	679	781
465	680	779
466	681	778
467	682	776
468	684	774
469	685	772
470	686	770
471	687	769
472	689	767
473	690	766
474	691	764
475	692	762
476	694	760
477	695	759
478	696	757
479	697	755
480	699	754
481	700	752
482	701	750
483	702	749
484	703	747
485	705	745
486	706	744
487	707	742
488	708	740
489	710	739
490	711	737
491	712	735
492	713	734
493	715	732
494	716	730
495	717	729
496	718	727
497	720	725
498	721	724
499	722	722
500	723	721
501	725	719
502	726	717
503	727	716
504	728	714
505	730	712
506	731	711
507	732	709
508	733	707
509	735	706
510	736	704
511	737	703
512	738	701
513	740	699
514	741	698
515	742	696
516	743	695
517	745	693
518	746	691
519	747	690
520	749	688
521	750	687
522	751	685
523	752	683
524	753	682
525	754	680
526	756	678
527	757	677
528	758	675
529	759	673
530	760	672
531	762	670
532	763	668
533	764	667
534	765	665
535	767	664
536	768	662
537	769	660
538	770	659
539	772	657
540	773	656
541	774	654
542	775	652
543	777	651
544	778	649
545	779	648
546	780	646
547	781	644
548	783	643
549	784	641
550	785	640
551	786	638
552	788	637
553	789	635
554	790	633
555	791	632
556	793	630
557	794	629
558	795	627
559	796	625
560	797	624
561	799	622
562	800	621
563	801	619
564	802	618
565	803	616
566	805	614
567	806	613
568	807	611
569	808	610
570	809	608
571	811	606
572	812	605
573	813	603
574	814	602
575	816	600
576	817	599
577	818	597
578	819	596
579	821	594
580	822	593
581	823	591
582	824	589
583	826	588
584	827	586
585	828	585
586	829	583
587	831	582
588	832	580
589	833	579
590	834	577
591	836	576
592	837	574
593	838	573
594	840	571
595	841	570
596	842	568
597	843	567
598	845	565
599	846	564
600	847	562
601	848	561
602	850	559
603	851	558
604	852	556
605	853	555
606	855	553
607	856	552
608	857	550
609	858	549
610	860	547
611	861	546
612	862	544
613	863	543
614	865	541
615	866	540
616	867	538
617	869	537
618	870	535
619	871	534
620	872	532
621	874	531
622	875	529
623	876	528
